Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","3","Albania","5312","Area harvested","544","Strawberries","2020","2020","ha","121","","Official data"
"QCL","Crops and livestock products","3","Albania","5419","Yield","544","Strawberries","2020","2020","hg/ha","450083","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5510","Production","544","Strawberries","2020","2020","tonnes","5446","","Official data"
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","544","Strawberries","2020","2020","ha","","M","Data not available"
"QCL","Crops and livestock products","4","Algeria","5510","Production","544","Strawberries","2020","2020","tonnes","","M","Data not available"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","544","Strawberries","2020","2020","ha","1117","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","9","Argentina","5419","Yield","544","Strawberries","2020","2020","hg/ha","121074","Fc","Calculated data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","544","Strawberries","2020","2020","tonnes","13524","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","544","Strawberries","2020","2020","ha","2337","","Official data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","544","Strawberries","2020","2020","hg/ha","252486","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5510","Production","544","Strawberries","2020","2020","tonnes","59006","","Official data"
"QCL","Crops and livestock products","11","Austria","5312","Area harvested","544","Strawberries","2020","2020","ha","1180","","Official data"
"QCL","Crops and livestock products","11","Austria","5419","Yield","544","Strawberries","2020","2020","hg/ha","112797","Fc","Calculated data"
"QCL","Crops and livestock products","11","Austria","5510","Production","544","Strawberries","2020","2020","tonnes","13310","","Official data"
"QCL","Crops and livestock products","57","Belarus","5312","Area harvested","544","Strawberries","2020","2020","ha","9216","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","57","Belarus","5419","Yield","544","Strawberries","2020","2020","hg/ha","83614","Fc","Calculated data"
"QCL","Crops and livestock products","57","Belarus","5510","Production","544","Strawberries","2020","2020","tonnes","77059","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","255","Belgium","5312","Area harvested","544","Strawberries","2020","2020","ha","1600","","Official data"
"QCL","Crops and livestock products","255","Belgium","5419","Yield","544","Strawberries","2020","2020","hg/ha","270000","Fc","Calculated data"
"QCL","Crops and livestock products","255","Belgium","5510","Production","544","Strawberries","2020","2020","tonnes","43200","","Official data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5312","Area harvested","544","Strawberries","2020","2020","ha","531","","Official data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5419","Yield","544","Strawberries","2020","2020","hg/ha","61921","Fc","Calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","544","Strawberries","2020","2020","tonnes","3288","","Official data"
"QCL","Crops and livestock products","80","Bosnia and Herzegovina","5312","Area harvested","544","Strawberries","2020","2020","ha","1337","","Official data"
"QCL","Crops and livestock products","80","Bosnia and Herzegovina","5419","Yield","544","Strawberries","2020","2020","hg/ha","84959","Fc","Calculated data"
"QCL","Crops and livestock products","80","Bosnia and Herzegovina","5510","Production","544","Strawberries","2020","2020","tonnes","11359","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","544","Strawberries","2020","2020","ha","5279","*","Unofficial figure"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","544","Strawberries","2020","2020","hg/ha","414626","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","544","Strawberries","2020","2020","tonnes","218881","*","Unofficial figure"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","544","Strawberries","2020","2020","ha","740","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5419","Yield","544","Strawberries","2020","2020","hg/ha","57703","Fc","Calculated data"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","544","Strawberries","2020","2020","tonnes","4270","","Official data"
"QCL","Crops and livestock products","33","Canada","5312","Area harvested","544","Strawberries","2020","2020","ha","2901","","Official data"
"QCL","Crops and livestock products","33","Canada","5419","Yield","544","Strawberries","2020","2020","hg/ha","81479","Fc","Calculated data"
"QCL","Crops and livestock products","33","Canada","5510","Production","544","Strawberries","2020","2020","tonnes","23637","","Official data"
"QCL","Crops and livestock products","40","Chile","5312","Area harvested","544","Strawberries","2020","2020","ha","1147","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","40","Chile","5419","Yield","544","Strawberries","2020","2020","hg/ha","264071","Fc","Calculated data"
"QCL","Crops and livestock products","40","Chile","5510","Production","544","Strawberries","2020","2020","tonnes","30289","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","351","China","5312","Area harvested","544","Strawberries","2020","2020","ha","127171","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","351","China","5419","Yield","544","Strawberries","2020","2020","hg/ha","262378","Fc","Calculated data"
"QCL","Crops and livestock products","351","China","5510","Production","544","Strawberries","2020","2020","tonnes","3336690","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","41","China, mainland","5312","Area harvested","544","Strawberries","2020","2020","ha","126644","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","41","China, mainland","5419","Yield","544","Strawberries","2020","2020","hg/ha","262690","Fc","Calculated data"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","544","Strawberries","2020","2020","tonnes","3326816","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5312","Area harvested","544","Strawberries","2020","2020","ha","527","","Official data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5419","Yield","544","Strawberries","2020","2020","hg/ha","187362","Fc","Calculated data"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","544","Strawberries","2020","2020","tonnes","9874","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","544","Strawberries","2020","2020","ha","1807","","Official data"
"QCL","Crops and livestock products","44","Colombia","5419","Yield","544","Strawberries","2020","2020","hg/ha","284527","Fc","Calculated data"
"QCL","Crops and livestock products","44","Colombia","5510","Production","544","Strawberries","2020","2020","tonnes","51414","","Official data"
"QCL","Crops and livestock products","48","Costa Rica","5312","Area harvested","544","Strawberries","2020","2020","ha","158","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","48","Costa Rica","5419","Yield","544","Strawberries","2020","2020","hg/ha","313861","Fc","Calculated data"
"QCL","Crops and livestock products","48","Costa Rica","5510","Production","544","Strawberries","2020","2020","tonnes","4959","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","98","Croatia","5312","Area harvested","544","Strawberries","2020","2020","ha","300","","Official data"
